name,type,rating,wins
Bulbasaur,Grass/Poison,1000,0
Ivysaur,Grass/Poison,1000,0
Venusaur,Grass/Poison,1000,0
Charmander,Fire,1000,0
Charmeleon,Fire,1000,0
Charizard,Fire/Flying,1000,0
Squirtle,Water,1000,0
Wartortle,Water,1000,0
Blastoise,Water,1000,0
Caterpie,Bug,1000,0
Metapod,Bug,1000,0
Butterfree,Bug/Flying,1000,0
Weedle,Bug/Poison,1000,0
Kakuna,Bug/Poison,1000,0
Beedrill,Bug/Poison,1000,0
Pidgey,Normal/Flying,1000,0
Pidgeotto,Normal/Flying,1000,0
Pidgeot,Normal/Flying,1000,0
Rattata,Normal,1000,0
Raticate,Normal,1000,0
Spearow,Normal/Flying,1000,0
Fearow,Normal/Flying,1000,0
Ekans,Poison,1000,0
Arbok,Poison,1000,0
Pikachu,Electric,1000,0
Raichu,Electric,1000,0
Sandshrew,Ground,1000,0
Sandslash,Ground,1000,0
Nidoran-F,Poison,1000,0
Nidorina,Poison,1000,0
Nidoqueen,Poison/Ground,1000,0
Nidoran-M,Poison,1000,0
Nidorino,Poison,1000,0
Nidoking,Poison/Ground,1000,0
Clefairy,Fairy,1000,0
Clefable,Fairy,1000,0
Vulpix,Fire,1000,0
Ninetales,Fire,1000,0
Jigglypuff,Normal/Fairy,1000,0
Wigglytuff,Normal/Fairy,1000,0
Zubat,Poison/Flying,1000,0
Golbat,Poison/Flying,1000,0
Oddish,Grass/Poison,1000,0
Gloom,Grass/Poison,1000,0
Vileplume,Grass/Poison,1000,0
Paras,Bug/Grass,1000,0
Parasect,Bug/Grass,1000,0
Venonat,Bug/Poison,1000,0
Venomoth,Bug/Poison,1000,0
Diglett,Ground,1000,0
Dugtrio,Ground,1000,0
Meowth,Normal,1000,0
Persian,Normal,1000,0
Psyduck,Water,1000,0
Golduck,Water,1000,0
Mankey,Fighting,1000,0
Primeape,Fighting,1000,0
Growlithe,Fire,1000,0
Arcanine,Fire,1000,0
Poliwag,Water,1000,0
Poliwhirl,Water,1000,0
Poliwrath,Water/Fighting,1000,0
Abra,Psychic,1000,0
Kadabra,Psychic,1000,0
Alakazam,Psychic,1000,0
Machop,Fighting,1000,0
Machoke,Fighting,1000,0
Machamp,Fighting,1000,0
Bellsprout,Grass/Poison,1000,0
Weepinbell,Grass/Poison,1000,0
Victreebel,Grass/Poison,1000,0
Tentacool,Water/Poison,1000,0
Tentacruel,Water/Poison,1000,0
Geodude,Rock/Ground,1000,0
Graveler,Rock/Ground,1000,0
Golem,Rock/Ground,1000,0
Ponyta,Fire,1000,0
Rapidash,Fire,1000,0
Slowpoke,Water/Psychic,1000,0
Slowbro,Water/Psychic,1000,0
Magnemite,Electric/Steel,1000,0
Magneton,Electric/Steel,1000,0
Farfetch'd,/Normal/Flying,1000,0
Doduo,Normal/Flying,1000,0
Dodrio,Normal/Flying,1000,0
Seel,Water,1000,0
Dewgong,Water/Ice,1000,0
Grimer,Poison,1000,0
